Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2026-02-03,268.98028564453125,421.9599914550781,25727.55078125,271.3758289780004,428.55999755859375,26341.19921875,267.11372779647115,413.69000244140625,25641.30078125,268.70080609664296,424.2699890136719,26308.05078125,64394700.0,56886500.0,637300.0
2026-02-04,275.97723388671875,406.010009765625,25776.0,278.432693698261,423.8999938964844,25818.55078125,271.7850411492978,399.17999267578125,25563.94921875,271.7850411492978,420.4599914550781,25675.05078125,90545700.0,74606900.0,429800.0
2026-02-05,275.3983459472656,397.2099914550781,25642.80078125,278.98168486317746,402.1000061035156,25757.650390625,272.72332314901723,387.5299987792969,25579.5,277.6142303156022,397.0199890136719,25755.900390625,52977400.0,72819800.0,343800.0
2026-02-06,277.6042175292969,411.1099853515625,25693.69921875,280.3890519626743,414.54998779296875,25703.94921875,276.4164219647768,397.75,25491.900390625,276.6060720438839,400.8699951171875,25605.80078125,50453400.0,62677100.0,375500.0
2026-02-09,274.3672180175781,417.32000732421875,25867.30078125,277.9439398399519,421.25,25922.25,271.4499228389202,407.2900085449219,25780.900390625,277.6541982366954,409.9100036621094,25888.69921875,44623400.0,54484300.0,359400.0
2026-02-10,273.4280700683594,425.2099914550781,25935.150390625,275.11651686144285,427.25,25989.44921875,272.68876099546605,417.0,25870.44921875,274.6369782150198,418.0799865722656,25922.650390625,34376900.0,64450200.0,460900.0
2026-02-11,275.24639892578125,428.2699890136719,25953.849609375,279.92208361183503,436.3500061035156,26009.400390625,274.1973776592452,420.0299987792969,25899.80078125,274.44714753122867,427.9599914550781,25997.44921875,51931300.0,57362000.0,331400.0
2026-02-12,261.4891052246094,417.07000732421875,25807.19921875,275.46621856633783,436.2300109863281,25906.69921875,259.94051360693726,414.0,25752.400390625,275.3363333447182,430.29998779296875,25906.69921875,81077200.0,61933400.0,419400.0
2026-02-13,255.5445556640625,417.44000244140625,25471.099609375,261.9886306947134,424.05999755859375,25630.349609375,255.21485759663088,410.8800048828125,25444.30078125,261.7688319830923,414.30999755859375,25571.150390625,56290700.0,51434100.0,453500.0
2026-02-16,,,25682.75,,,25697.0,,,25372.69921875,,,25423.599609375,,,275800.0
